final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
395	3	52	11	295	1	6	90	58	117
396	3	15	11	242	1	5	6	1	84
397	3	11	8	218	2	5	8	1	60
398	3	13	11	336	2	13	17	0	141
399	3	7	5	204	1	4	5	1	124
400	3	7	5	200	1	6	8	1	78
401	3	20	11	223	2	4	10	1	55
402	3	12	6	206	2	5	12	1	107
403	3	13	6	357	1	6	12	1	88
404	3	10	9	219	1	4	3	0	64
405	3	14	12	212	1	8	11	1	78
406	3	10	8	293	1	10	12	1	71
407	3	21	5	343	3	3	16	26	121
408	3	10	9	292	3	8	10	0	110
409	3	11	5	276	1	6	13	1	134
410	3	29	6	229	1	8	63	33	120
411	3	10	5	313	1	5	5	1	56
412	3	23	5	396	1	8	36	1	122
413	3	23	21	203	1	14	14	1	139
414	3	259	9	261	1	7	97	451	97
415	3	21	15	336	1	11	21	1	112
416	3	24	5	384	1	4	6	20	64
417	3	15	8	283	1	12	14	1	128
418	1	15	0	0	0	0	0	0	88
419	3	16	12	379	1	10	15	1	144
420	3	29	6	212	1	6	43	19	144
421	3	30	10	262	1	11	49	9	101
422	3	21	12	252	1	10	23	1	137
423	3	14	13	283	1	6	8	0	110
424	3	15	11	306	1	7	12	1	127
425	3	14	5	224	2	5	11	1	105
426	3	10	8	240	2	9	11	0	117
427	3	24	8	258	1	13	43	1	137
428	3	8	6	307	2	7	10	1	125
429	3	27	6	256	4	5	15	8	53
430	3	43	19	221	1	10	59	38	108
431	3	10	5	226	1	6	10	1	74
432	3	8	5	443	1	4	8	1	98
433	3	23	13	410	1	7	13	1	51
434	3	12	8	515	1	3	5	1	54
435	3	9	7	497	1	7	8	1	76
436	3	14	5	295	2	6	16	1	125
437	3	23	21	555	1	9	8	1	54
438	3	13	9	201	2	6	11	1	111
439	3	32	6	208	1	6	32	2	96
440	3	10	9	337	1	7	6	0	81
441	3	10	9	624	1	11	12	0	134
442	3	8	5	306	1	10	13	1	128
443	3	8	5	318	1	6	9	1	65
444	3	10	6	281	1	9	14	1	94
445	3	29	9	780	3	5	13	4	60
446	3	15	14	238	1	6	7	0	72
447	3	10	7	435	1	8	10	1	141
448	3	14	8	298	1	12	22	1	104
449	3	8	5	242	4	5	9	1	92
450	3	7	5	218	1	10	8	1	102
451	3	28	14	216	1	11	30	1	94
452	3	12	8	217	1	6	8	1	55
453	3	11	9	227	1	7	14	1	102
454	3	6	5	361	1	4	8	0	125
455	3	14	9	340	2	5	6	1	92
456	3	16	8	201	1	15	26	1	140
457	3	22	8	337	1	7	21	1	83
458	3	13	8	280	1	8	11	1	71
459	3	21	6	515	1	5	31	2	115
460	3	9	8	729	1	6	7	0	72
461	3	12	11	259	2	7	11	0	135
462	3	13	11	317	2	7	7	1	80
463	3	7	6	295	1	6	6	0	125
464	3	51	10	328	1	7	38	20	67
465	4	25	0	0	0	0	4	0	50
466	3	12	5	341	1	6	15	1	94
467	3	52	14	381	3	14	65	73	99
468	3	10	6	244	1	9	13	1	129
469	3	26	15	222	1	10	26	1	148
470	3	31	8	251	1	7	35	56	89
471	3	16	14	315	1	10	9	1	101
472	3	20	14	285	1	6	8	1	123
473	3	25	5	202	1	4	11	2	52
474	3	25	9	321	1	7	26	1	95
475	3	8	7	264	2	6	7	0	97
476	3	25	7	342	1	7	20	12	74
477	3	21	5	273	2	5	13	1	128
478	3	19	10	262	2	10	20	1	63
479	3	15	10	203	1	8	14	1	99
480	3	14	13	340	2	8	9	0	86
481	3	17	6	483	1	12	25	1	75
482	3	20	8	257	2	8	25	2	105
483	3	8	7	265	2	5	6	0	97
484	3	15	8	212	1	7	17	1	110
485	3	9	7	665	1	5	6	1	109
486	3	21	11	207	1	9	32	1	133
487	3	76	7	243	1	8	114	370	114
488	3	27	10	263	1	6	27	1	111
489	4	25	0	0	0	0	7	0	77
490	3	26	6	280	1	10	38	22	125
491	3	8	6	206	1	5	7	1	105
492	3	47	9	204	1	5	20	38	58
493	3	14	11	221	1	11	15	1	137
494	3	22	8	324	7	8	17	21	79
495	3	18	6	278	3	4	11	3	59
496	3	15	8	351	4	5	5	1	64
497	3	7	6	544	1	7	9	0	104
498	3	9	7	233	1	7	8	1	52
499	3	46	8	285	2	9	54	9	112
500	3	11	8	213	1	5	5	1	51
501	3	23	5	438	3	8	26	1	142
502	3	21	11	345	2	8	15	1	80
503	3	19	13	324	1	7	7	1	74
504	3	18	17	284	1	6	5	0	93
505	3	13	5	331	1	6	22	1	116
506	3	12	6	225	1	8	14	1	102
507	3	12	11	276	2	7	7	0	91
508	3	12	9	227	2	7	9	1	138
509	3	22	5	285	2	5	29	1	149
510	3	21	12	214	2	7	15	1	134
511	3	8	7	273	1	6	5	0	59
512	3	10	6	228	1	8	13	1	142
513	3	11	6	402	1	6	13	1	109
514	3	29	11	226	2	10	35	4	101
515	3	9	5	200	2	7	8	1	97
516	3	6	5	211	1	7	11	0	75
517	3	13	10	242	1	12	14	1	144
518	3	10	8	301	2	5	5	0	73
519	3	7	6	442	1	3	7	0	117
520	3	6	5	209	1	5	4	0	66
521	3	38	10	374	1	5	32	24	86
522	3	12	6	235	3	9	15	1	144
523	3	9	5	202	1	10	16	1	136
524	3	15	5	267	1	8	18	1	141
525	1	21	0	0	0	0	0	0	62
526	3	25	12	234	3	14	38	10	100
527	3	18	12	202	1	5	8	1	91
528	3	13	7	499	1	6	15	1	127
529	3	25	6	366	1	5	22	1	109
530	4	25	0	0	0	0	3	0	50
531	3	9	6	493	3	4	5	1	129
532	3	14	13	236	1	10	11	0	142
533	3	15	9	280	1	7	9	1	79
534	3	7	5	380	1	5	7	1	123
535	3	12	10	312	1	9	13	1	139
536	3	14	8	313	3	10	19	1	127
537	3	7	5	303	1	8	12	1	136
538	3	11	8	352	1	9	15	1	90
539	3	19	6	452	1	5	13	3	96
540	3	26	11	247	1	7	19	1	69
541	3	30	8	261	1	6	35	71	141
542	3	24	15	261	2	6	12	1	57
543	3	7	6	226	1	9	9	0	127
544	3	14	10	256	1	7	10	1	78
545	3	13	11	220	2	8	11	1	133
546	3	38	8	287	1	6	29	1	51
547	3	19	9	219	1	8	24	1	141
548	3	12	9	337	1	5	5	1	126
549	3	13	6	269	1	5	16	1	124
550	3	12	9	283	1	6	8	1	86
551	3	17	5	349	2	7	16	1	121
552	3	18	15	207	4	5	4	1	56
553	3	11	9	207	2	5	5	1	75
554	3	14	13	271	1	15	17	0	120
555	3	10	6	270	1	8	14	1	90
556	3	6	5	368	1	6	7	0	125
557	3	6	5	230	1	8	10	0	103
558	3	12	11	271	1	10	12	0	96
559	3	12	5	469	1	6	9	1	80
560	3	13	10	210	1	11	13	1	146
561	3	10	5	360	2	5	5	1	61
562	3	9	8	280	1	11	12	0	102
563	3	26	6	202	1	7	9	1	90
564	3	18	7	299	1	11	35	1	145
565	3	25	7	204	1	7	37	17	146
566	3	19	6	267	1	3	9	1	65
567	3	9	6	249	1	7	9	1	58
568	3	501	15	349	2	5	53	1362	53
569	3	16	13	331	1	11	13	1	104
570	3	12	7	291	1	9	18	1	120
571	3	10	5	443	2	4	8	12	55
572	3	12	5	270	1	5	9	1	71
573	3	8	6	684	1	7	8	1	133
574	3	19	13	449	1	10	12	1	126
575	3	18	10	212	1	4	10	1	104
576	3	20	12	329	1	9	14	1	110
577	3	14	8	375	1	5	7	1	96
578	3	23	15	399	2	4	5	1	65
579	3	10	6	230	1	8	11	1	146
580	3	8	7	515	1	3	2	0	76
581	3	22	10	350	1	7	15	1	56
582	3	38	6	227	1	8	81	17	134
583	3	12	7	489	1	8	11	1	114
584	3	19	13	222	1	6	9	1	50
585	3	11	8	323	1	11	16	1	148
586	3	27	8	529	1	4	15	9	62
587	3	15	14	212	1	9	9	0	126
588	3	30	8	252	1	10	34	1	101
589	3	9	7	562	2	11	17	1	146
